IMDB_title_ID,Original_title,Release_year,Genre,Duration,Country,Content_Rating,Director,Unnamed: 8,Income,Votes,Score
tt0111161,The Shawshank Redemption,1995-02-10,Drama,142,USA,R,Frank Darabont,,28815245.0,2278845,9.3
tt0068646,The Godfather,,"Crime, Drama",175,USA,R,Francis Ford Coppola,,246120974.0,1572674,9.2
tt0468569,The Dark Knight,,"Action, Crime, Drama",152,US,PG-13,Christopher Nolan,,1005455211.0,2241615,9.0
tt0071562,The Godfather: Part II,1975-09-25,"Crime, Drama",220,USA,R,Francis Ford Coppola,,,1098714,9.0
tt0110912,Pulp Fiction,1994-10-28,"Crime, Drama", ,USA,R,Quentin Tarantino,,222831817.0,1780147,8.9
tt0167260,The Lord of the Rings: The Return of the King,,"Action, Adventure, Drama",201,New Zealand,PG-13,Peter Jackson,,1142271098.0,1604280,8.9
tt0108052,Schindler's List,1994-03-11,"Biography, Drama, History",Nan,USA,R,Steven Spielberg,,322287794.0,1183248,8.9
tt0050083,12 Angry Men,1957-09-04,"Crime, Drama",96,USA,Not Rated,Sidney Lumet,,576.0,668473,8.9
tt1375666,Inception,2010-09-24,"Action, Adventure, Sci-Fi",148,USA,PG-13,Christopher Nolan,,869784991.0,2002816,
tt0137523,Fight Club,,Drama,Inf,UK,R,David Fincher,,101218804.0,1807440,8.8
tt0109830,Forrest Gump,1994-10-06,"Drama, Romance",142,USA,PG-13,Robert Zemeckis,,678229452.0,1755490,8.8
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2002-01-18,"Action, Adventure, Drama",178c,New Zesland,PG-13,Peter Jackson,,887934303.0,1619920,8.8
tt0060196,"Il buono, il brutto, il cattivo",,Western,161,Italy,Approved,Sergio Leone,,25252481.0,672499,8.8
tt0133093,The Matrix,1999-05-07,"Action, Sci-Fi",Unknown,USA,R,"Lana Wachowski, Lilly Wachowski",,465718588.0,1632315,8.7
tt0167261,The Lord of the Rings: The Two Towers,,"Action, Adventure, Drama",179,New Zeland,PG-13,Peter Jackson,,951227416.0,1449778,
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980-09-19,"Action, Adventure, Fantasy",Not Applicable,USA,PG,Irvin Kershner,,549265501.0,1132073,87.0
tt0099685,Goodfellas,1990-09-20,"Biography, Crime, Drama",146,USA,R,Martin Scorsese,,46879633.0,991505,8.7
tt0073486,One Flew Over the Cuckoo's Nest,,Drama,-,USA,R,Milos Forman,,108997629.0,891071,8.7
tt0816692,Interstellar,2014-11-06,"Adventure, Drama, Sci-Fi",169,USA,PG-13,Christopher Nolan,,696742056.0,1449256,8.6
tt0114369,Se7en,1995-12-15,"Crime, Drama, Mystery",127,USA,R,David Fincher,,327333559.0,1402015,8.6
tt0102926,The Silence of the Lambs,1991-03-05,"Crime, Drama, Thriller",118,USA,R,Jonathan Demme,,272753884.0,1234134,8.6
tt0076759,Star Wars,1977-10-20,"Action, Adventure, Fantasy",121,USA,PG,George Lucas,,775768912.0,1204107,8.6
tt0120815,Saving Private Ryan,1998-10-30,"Drama, War",169,USA,R,Steven Spielberg,,482349603.0,1203825,8.6
